video_id,video,status
044f1457-ad42-4382-87e2-762c025deecc_delivery_16,input/044f1457-ad42-4382-87e2-762c025deecc_delivery_16.mp4,source_only_no_feature_csv
081fab15-1105-400c-a955-4e604cd61a7b_delivery_1,input/081fab15-1105-400c-a955-4e604cd61a7b_delivery_1.mp4,source_only_no_feature_csv
08742bd9-fcff-4782-9b02-c0bc581b7937_delivery_1,input/08742bd9-fcff-4782-9b02-c0bc581b7937_delivery_1.mp4,source_only_no_feature_csv
0cd50cd2-9995-4580-b96c-cd420ae20f99_delivery_9,input/0cd50cd2-9995-4580-b96c-cd420ae20f99_delivery_9.mp4,source_only_no_feature_csv
1a4f3c00-7cf1-4107-8e7f-454bf2db8a9d_delivery_1,input/1a4f3c00-7cf1-4107-8e7f-454bf2db8a9d_delivery_1.mp4,source_only_no_feature_csv
20ea4dd0-082f-45ca-acbe-3979ecea8bd4_delivery_2,input/20ea4dd0-082f-45ca-acbe-3979ecea8bd4_delivery_2.mp4,source_only_no_feature_csv
2a524cc2-c1be-47a6-a57f-4829e3d38de1_delivery_1,input/2a524cc2-c1be-47a6-a57f-4829e3d38de1_delivery_1.mp4,source_only_no_feature_csv
3c4558df-431b-44b9-b673-115cc9f2fb44_delivery_1,input/3c4558df-431b-44b9-b673-115cc9f2fb44_delivery_1.mp4,source_only_no_feature_csv
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_10,input/4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_10.mp4,source_only_no_feature_csv
5d09abd4-41d8-4c32-a99f-3b899ed28c24_delivery_4,input/5d09abd4-41d8-4c32-a99f-3b899ed28c24_delivery_4.mp4,source_only_no_feature_csv
5d7d50e5-6309-46d8-8fbc-47fa7cbeb8c5_delivery_2,input/5d7d50e5-6309-46d8-8fbc-47fa7cbeb8c5_delivery_2.mp4,source_only_no_feature_csv
84bf040d-73d9-44c5-81e9-ec71e2412536_delivery_1,input/84bf040d-73d9-44c5-81e9-ec71e2412536_delivery_1.mp4,source_only_no_feature_csv
97d4adc6-af7d-4aef-9144-1612fd0ace9e_delivery_1,input/97d4adc6-af7d-4aef-9144-1612fd0ace9e_delivery_1.mp4,source_only_no_feature_csv
a2f5841f-1fc5-4780-9fe2-5b5afd494489_delivery_1,input/a2f5841f-1fc5-4780-9fe2-5b5afd494489_delivery_1.mp4,source_only_no_feature_csv
c8a00afe-0bab-430a-9d20-13307f23350a_delivery_1,input/c8a00afe-0bab-430a-9d20-13307f23350a_delivery_1.mp4,source_only_no_feature_csv
cab6fb99-f739-4b46-9740-6bc928435291_delivery_1,input/cab6fb99-f739-4b46-9740-6bc928435291_delivery_1.mp4,source_only_no_feature_csv
camera2_clip_20260308_162423_55136,input/camera2_clip_20260308_162423_55136.mp4,source_only_no_feature_csv
camera2_clip_20260308_172153_182936,input/camera2_clip_20260308_172153_182936.mp4,source_only_no_feature_csv
camera2_clip_20260308_172156_372989,input/camera2_clip_20260308_172156_372989.mp4,source_only_no_feature_csv
camera2_clip_20260312_173324_5563,input/camera2_clip_20260312_173324_5563.mp4,source_only_no_feature_csv
camera2_clip_20260312_173327_252121,input/camera2_clip_20260312_173327_252121.mp4,source_only_no_feature_csv
camera2_clip_20260312_173717_100722,input/camera2_clip_20260312_173717_100722.mp4,source_only_no_feature_csv
camera2_clip_20260312_173717_136383,input/camera2_clip_20260312_173717_136383.mp4,source_only_no_feature_csv
camera2_clip_20260312_180028_12591,input/camera2_clip_20260312_180028_12591.mp4,source_only_no_feature_csv
camera2_clip_20260312_180035_417515,input/camera2_clip_20260312_180035_417515.mp4,source_only_no_feature_csv
camera2_clip_20260312_182214_177603,input/camera2_clip_20260312_182214_177603.mp4,source_only_no_feature_csv
camera2_clip_20260312_182220_515565,input/camera2_clip_20260312_182220_515565.mp4,source_only_no_feature_csv
camera2_clip_20260314_092203_108273,input/camera2_clip_20260314_092203_108273.mp4,source_only_no_feature_csv
camera2_clip_20260314_092206_141097,input/camera2_clip_20260314_092206_141097.mp4,source_only_no_feature_csv
camera2_clip_20260314_093015_9196,input/camera2_clip_20260314_093015_9196.mp4,source_only_no_feature_csv
camera2_clip_20260314_093028_371914,input/camera2_clip_20260314_093028_371914.mp4,source_only_no_feature_csv
camera2_clip_20260314_093441_3870,input/camera2_clip_20260314_093441_3870.mp4,source_only_no_feature_csv
camera2_clip_20260314_093442_46125,input/camera2_clip_20260314_093442_46125.mp4,source_only_no_feature_csv
camera2_clip_20260318_190436_105127,input/camera2_clip_20260318_190436_105127.mp4,source_only_no_feature_csv
camera2_clip_20260318_190436_125626,input/camera2_clip_20260318_190436_125626.mp4,source_only_no_feature_csv
camera2_clip_20260318_190436_140142,input/camera2_clip_20260318_190436_140142.mp4,source_only_no_feature_csv
camera2_clip_20260318_190436_66993,input/camera2_clip_20260318_190436_66993.mp4,source_only_no_feature_csv
camera2_clip_20260318_190437_174622,input/camera2_clip_20260318_190437_174622.mp4,source_only_no_feature_csv
camera2_clip_20260318_190437_212077,input/camera2_clip_20260318_190437_212077.mp4,source_only_no_feature_csv
camera2_clip_20260318_190438_294391,input/camera2_clip_20260318_190438_294391.mp4,source_only_no_feature_csv
camera2_clip_20260318_192719_52102,input/camera2_clip_20260318_192719_52102.mp4,source_only_no_feature_csv
camera2_clip_20260318_194136_26600,input/camera2_clip_20260318_194136_26600.mp4,source_only_no_feature_csv
camera2_clip_20260318_194137_129945,input/camera2_clip_20260318_194137_129945.mp4,source_only_no_feature_csv
camera2_clip_20260408_191829_18996,input/camera2_clip_20260408_191829_18996.mp4,source_only_no_feature_csv
camera2_clip_20260521_065505_1802,input/camera2_clip_20260521_065505_1802.mp4,source_only_no_feature_csv
camera2_clip_20260521_065652_34144,input/camera2_clip_20260521_065652_34144.mp4,source_only_no_feature_csv
camera2_clip_20260521_092950_10697,input/camera2_clip_20260521_092950_10697.mp4,source_only_no_feature_csv
camera2_clip_20260522_175637_6163,input/camera2_clip_20260522_175637_6163.mp4,source_only_no_feature_csv
camera2_clip_20260522_230550_6740,input/camera2_clip_20260522_230550_6740.mp4,source_only_no_feature_csv
camera2_clip_20260524_093937_24728,input/camera2_clip_20260524_093937_24728.mp4,source_only_no_feature_csv
camera2_clip_20260524_093937_38163,input/camera2_clip_20260524_093937_38163.mp4,source_only_no_feature_csv
camera2_clip_20260602_171452_3911,input/camera2_clip_20260602_171452_3911.mp4,source_only_no_feature_csv
cda3cfaa-53c1-4fc8-aa6b-3b840f7011ff_delivery_1_phase,input/test/cda3cfaa-53c1-4fc8-aa6b-3b840f7011ff_delivery_1_phase.mp4,source_only_no_feature_csv
