video_id,frame_no,phase
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,60,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,61,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,62,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,63,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,64,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,65,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,66,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,67,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,68,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,69,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,70,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,71,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,72,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,73,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,74,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,75,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,76,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,77,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,78,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,79,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,80,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,81,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,82,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,83,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,84,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,85,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,86,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,87,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,88,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,89,preparation
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,90,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,91,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,92,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,93,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,94,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,95,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,96,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,97,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,98,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,99,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,100,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,101,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,102,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,103,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,104,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,105,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,106,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,107,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,108,downswing
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,109,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,110,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,111,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,112,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,113,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,114,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,115,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,116,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,117,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,118,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,119,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,120,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,121,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,122,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,123,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,124,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,125,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,126,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,127,followthrough
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,128,followthrough
