video_id,frame_no,fps,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
camera2_clip_20260530_174735_1594,0,28.795360523731002,308.0414123535156,168.85093688964844,310.70355224609375,166.29913330078125,306.45855712890625,166.3068389892578,316.664306640625,168.49728393554688,307.5279541015625,167.73065185546875,317.80035400390625,181.92784118652344,316.2065124511719,181.30752563476562,319.27691650390625,201.48577880859375,321.1363830566406,199.7800750732422,319.3041687011719,219.180908203125,318.5527038574219,218.45852661132812,332.9944152832031,213.6614990234375,331.72161865234375,213.76504516601562,324.7467041015625,241.74417114257812,325.46087646484375,242.3601837158203,328.4164733886719,272.716796875,325.4005432128906,271.76531982421875
camera2_clip_20260530_174735_1594,1,28.795360523731002,307.52093505859375,168.9435577392578,310.2528076171875,166.35977172851562,305.86767578125,166.3559112548828,316.2240295410156,168.62771606445312,306.7824401855469,167.83448791503906,317.1689147949219,182.09451293945312,315.4999084472656,181.52162170410156,318.8331604003906,201.56741333007812,320.51861572265625,200.0196533203125,319.0776672363281,219.00018310546875,317.8100280761719,218.40615844726562,332.5936584472656,213.5765380859375,331.2737731933594,213.71070861816406,324.31939697265625,241.75201416015625,325.03680419921875,242.3960418701172,327.8878173828125,272.8411865234375,324.7249450683594,271.8512268066406
camera2_clip_20260530_174735_1594,2,28.795360523731002,307.1017761230469,169.10484313964844,309.8548889160156,166.4627227783203,305.3869323730469,166.4918975830078,315.86663818359375,168.7268829345703,306.25067138671875,168.01205444335938,316.76025390625,182.27699279785156,315.128662109375,181.7835693359375,318.5219421386719,201.769287109375,320.2132568359375,200.30477905273438,318.9446716308594,218.97499084472656,317.4015808105469,218.3976287841797,332.32635498046875,213.57456970214844,331.03936767578125,213.73362731933594,323.9036560058594,241.7051239013672,324.7313537597656,242.36181640625,327.438232421875,272.93255615234375,324.20794677734375,271.9170837402344
camera2_clip_20260530_174735_1594,3,28.795360523731002,306.0323486328125,169.3840789794922,308.867919921875,166.72125244140625,304.3251647949219,166.7111358642578,314.9789123535156,169.0185089111328,305.17828369140625,168.19625854492188,315.63592529296875,182.5555419921875,314.0730895996094,182.04698181152344,317.5632019042969,201.99024963378906,319.2142333984375,200.68898010253906,318.1710205078125,219.00714111328125,316.1085205078125,218.95774841308594,331.5643615722656,213.61415100097656,330.3329772949219,213.77967834472656,323.0843811035156,241.75576782226562,323.90460205078125,242.42030334472656,326.2997741699219,273.1418151855469,322.97991943359375,272.0952453613281
camera2_clip_20260530_174735_1594,4,28.795360523731002,304.75860595703125,169.4229278564453,307.55865478515625,166.716796875,303.0473937988281,166.73448181152344,313.73358154296875,168.9165802001953,304.0074157714844,168.13510131835938,314.5596923828125,182.44790649414062,313.0500183105469,181.9431915283203,316.3515625,201.92140197753906,318.3534240722656,200.62631225585938,317.02850341796875,218.9098663330078,315.26641845703125,218.71571350097656,330.3718566894531,213.44325256347656,329.1770935058594,213.5983428955078,321.9521789550781,241.48016357421875,322.83258056640625,242.19317626953125,324.86419677734375,273.0894775390625,321.9205322265625,272.17889404296875
camera2_clip_20260530_174735_1594,5,28.795360523731002,303.740234375,169.35391235351562,306.454833984375,166.59022521972656,301.9814453125,166.684326171875,312.6545104980469,168.6436767578125,303.0482482910156,168.039306640625,313.7496032714844,182.2401885986328,312.574951171875,181.8477325439453,315.5106201171875,201.8365936279297,318.3221740722656,200.64280700683594,316.1732482910156,218.5636444091797,314.96038818359375,218.42990112304688,329.5182800292969,213.5283966064453,328.5421447753906,213.6962890625,321.04681396484375,241.43177795410156,322.070068359375,242.17672729492188,323.70025634765625,273.1236877441406,321.2670593261719,272.3450622558594
camera2_clip_20260530_174735_1594,6,28.795360523731002,302.71722412109375,169.2595672607422,305.29638671875,166.50401306152344,301.0730895996094,166.6320037841797,311.5225830078125,168.3995361328125,302.5130615234375,167.8519744873047,313.0469055175781,181.90011596679688,312.2542724609375,181.4984588623047,314.71875,201.50790405273438,318.18145751953125,200.2747344970703,315.2413635253906,218.23965454101562,314.5694274902344,218.13389587402344,328.7740783691406,213.41993713378906,328.0494689941406,213.5542449951172,320.3115539550781,241.25755310058594,321.4193420410156,242.00450134277344,322.6884460449219,273.04296875,320.7230224609375,272.387451171875
camera2_clip_20260530_174735_1594,7,28.795360523731002,301.6776123046875,169.05088806152344,304.2043762207031,166.34764099121094,300.1249084472656,166.48313903808594,310.4517822265625,168.2112274169922,301.7865295410156,167.68345642089844,312.0032043457031,181.52685546875,311.68536376953125,181.1598358154297,313.60650634765625,200.97007751464844,317.78167724609375,199.78884887695312,314.2140808105469,217.77200317382812,314.09930419921875,217.8145294189453,327.8341064453125,213.397705078125,327.4212951660156,213.5560760498047,319.5364990234375,241.31983947753906,320.53851318359375,242.0966339111328,321.7364196777344,272.97491455078125,320.3336181640625,272.35748291015625
camera2_clip_20260530_174735_1594,8,28.795360523731002,300.58013916015625,169.16050720214844,303.03533935546875,166.47251892089844,299.004150390625,166.6542510986328,309.2369079589844,168.34127807617188,300.6509704589844,167.9374237060547,311.1727600097656,181.5840606689453,310.4449157714844,181.37252807617188,312.6842956542969,200.8587188720703,316.1346130371094,199.97047424316406,313.2715759277344,217.60093688964844,312.6991882324219,217.60377502441406,326.78704833984375,213.6479034423828,326.10107421875,213.84603881835938,318.5570068359375,241.61619567871094,319.313232421875,242.362548828125,320.9779968261719,273.162353515625,319.3753356933594,272.4950866699219
camera2_clip_20260530_174735_1594,9,28.795360523731002,299.35174560546875,169.82005310058594,301.8105773925781,167.14854431152344,297.7610778808594,167.3494415283203,308.0003662109375,169.14056396484375,299.34246826171875,168.8046417236328,309.99322509765625,182.38177490234375,309.0053405761719,182.30453491210938,311.72857666015625,201.3904571533203,314.4822692871094,200.71385192871094,312.4029235839844,217.92489624023438,311.1925354003906,218.02810668945312,325.65447998046875,214.2904052734375,324.7984619140625,214.5429229736328,317.41693115234375,242.42515563964844,318.0379943847656,243.1887969970703,320.09063720703125,273.7327575683594,318.0341796875,273.0192565917969
