video_id,frame_no,fps,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,0,60.03399983809601,205.65939331054688,279.4917297363281,206.80784606933594,277.4784240722656,204.9266357421875,277.5428161621094,209.21449279785156,277.8563537597656,205.57606506347656,277.6842956542969,212.83328247070312,287.6519775390625,207.84274291992188,287.9914855957031,211.80177307128906,304.8302917480469,208.4472198486328,304.52215576171875,204.28631591796875,311.09893798828125,203.80140686035156,309.85400390625,220.31947326660156,315.93701171875,216.47653198242188,316.087890625,211.2195281982422,338.91082763671875,208.8112335205078,339.9374694824219,217.40509033203125,368.0723571777344,209.36524963378906,368.74139404296875
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,1,60.03399983809601,205.57504272460938,279.51226806640625,206.7018280029297,277.53485107421875,204.8677978515625,277.59381103515625,209.05197143554688,277.8930969238281,205.50634765625,277.70867919921875,212.7295379638672,287.6416320800781,207.61129760742188,287.9683837890625,211.75885009765625,304.7957763671875,208.49664306640625,304.561279296875,204.20068359375,311.1020202636719,203.71200561523438,310.40093994140625,220.3438720703125,315.9666442871094,216.4010467529297,316.11981201171875,211.17465209960938,339.0350036621094,208.81869506835938,340.1199035644531,217.40196228027344,368.04461669921875,209.15667724609375,368.7991027832031
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,2,60.03399983809601,205.3491973876953,279.52728271484375,206.3699951171875,277.56671142578125,204.76039123535156,277.61907958984375,208.65304565429688,277.8682556152344,205.69190979003906,277.6563415527344,212.61373901367188,287.5697326660156,207.74197387695312,287.8184509277344,211.59182739257812,304.8322448730469,208.50746154785156,304.41033935546875,204.206787109375,311.15594482421875,203.7786102294922,310.51617431640625,220.33387756347656,315.9194641113281,216.56581115722656,316.06591796875,211.22808837890625,339.0865173339844,208.90179443359375,340.32037353515625,217.33843994140625,367.8559875488281,209.1877899169922,368.9170837402344
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,3,60.03399983809601,205.54298400878906,279.5741882324219,206.62037658691406,277.594970703125,204.78408813476562,277.6491394042969,208.96583557128906,277.8661193847656,205.29698181152344,277.6426696777344,212.77407836914062,287.5489196777344,207.47048950195312,287.7043762207031,211.63052368164062,304.8052978515625,208.2249298095703,304.0959777832031,204.2656707763672,311.1273193359375,203.76231384277344,310.3138122558594,220.50013732910156,315.8803405761719,216.45733642578125,316.01641845703125,211.24708557128906,339.0080871582031,208.97116088867188,340.45416259765625,217.33395385742188,367.53021240234375,209.24855041503906,368.94146728515625
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,4,60.03399983809601,205.72401428222656,279.5398864746094,206.78564453125,277.5679931640625,204.8871307373047,277.6256103515625,209.0132293701172,277.8033447265625,205.14361572265625,277.6065673828125,212.75625610351562,287.53399658203125,207.1557159423828,287.6636047363281,211.45933532714844,304.8819885253906,208.09674072265625,304.0376892089844,204.3870391845703,311.511474609375,203.7221221923828,311.1510314941406,220.6287078857422,315.801513671875,216.38966369628906,316.0037841796875,211.18809509277344,339.05511474609375,208.8899383544922,340.758056640625,217.3181610107422,367.20343017578125,209.25941467285156,369.0924072265625
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,5,60.03399983809601,205.88697814941406,279.4720458984375,206.9021759033203,277.5068359375,205.06463623046875,277.5778503417969,209.09568786621094,277.7455749511719,205.3704071044922,277.5829162597656,212.93614196777344,287.5063781738281,207.3661651611328,287.6306457519531,211.58177185058594,304.76123046875,208.20819091796875,303.7762451171875,204.8504180908203,311.6624450683594,204.05633544921875,311.0129699707031,220.73941040039062,315.7218322753906,216.5614013671875,315.9511413574219,211.12167358398438,338.83795166015625,208.99526977539062,340.63458251953125,217.1685028076172,366.8482971191406,209.67222595214844,368.9264831542969
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,6,60.03399983809601,206.06385803222656,279.4848937988281,207.06874084472656,277.4831237792969,205.20828247070312,277.5792236328125,209.35763549804688,277.7296142578125,205.5611114501953,277.62127685546875,213.24008178710938,287.51849365234375,207.8485107421875,287.6733093261719,211.8303985595703,304.6025085449219,208.4049072265625,303.5835876464844,205.47927856445312,311.6470031738281,204.56764221191406,310.6258239746094,220.8263397216797,315.6581115722656,216.81524658203125,315.8918151855469,211.13925170898438,338.49334716796875,209.15045166015625,340.32196044921875,217.01625061035156,366.5433044433594,210.17970275878906,368.72003173828125
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,7,60.03399983809601,206.181640625,279.4789123535156,207.2319793701172,277.4463195800781,205.21949768066406,277.5811767578125,209.62245178222656,277.6956787109375,205.3941192626953,277.7018127441406,213.5093231201172,287.54217529296875,207.78482055664062,287.8348083496094,212.05038452148438,304.63397216796875,208.3321533203125,303.7557373046875,205.77618408203125,311.5697021484375,204.4859161376953,310.52581787109375,220.90953063964844,315.67352294921875,216.70797729492188,315.9651184082031,211.03555297851562,338.3121643066406,209.0980682373047,340.2127380371094,216.97811889648438,366.42529296875,210.51553344726562,368.71142578125
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,8,60.03399983809601,205.55535888671875,279.52606201171875,206.48870849609375,277.48175048828125,204.80300903320312,277.65020751953125,209.0199432373047,277.69598388671875,205.6335906982422,277.7767639160156,213.50558471679688,287.4270935058594,208.15975952148438,287.9339294433594,212.45701599121094,304.4426574707031,208.70620727539062,304.0548095703125,206.3114776611328,311.5090026855469,204.66107177734375,310.6362609863281,220.80184936523438,315.6800537109375,216.8773956298828,316.0130615234375,211.02113342285156,338.1271057128906,209.10496520996094,340.085693359375,216.91793823242188,366.49554443359375,210.56529235839844,368.8441467285156
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,9,60.03399983809601,204.47793579101562,279.5685119628906,205.2439422607422,277.52215576171875,204.0367889404297,277.7123718261719,207.9532928466797,277.6597595214844,205.83883666992188,277.7705383300781,213.2869873046875,287.2574462890625,208.67112731933594,287.8883361816406,212.82427978515625,304.2591857910156,209.11038208007812,304.1831359863281,206.74105834960938,311.263916015625,204.7823028564453,310.3212890625,220.59860229492188,315.8311767578125,217.197021484375,316.145263671875,211.00770568847656,338.11090087890625,209.11460876464844,340.0356140136719,216.8578643798828,366.6498107910156,210.6375274658203,368.9463806152344
